PHONE_TYPE,RAM_STORAGE,NAIRA_PRICE,CITY,STATE,PHONE_CONDITION
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
New Apple iPhone 7 32 GB Gold,NA,70000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 7 32 GB White,NA,68000,Ikeja,Lagos State,Used
Apple iPhone 8 64 GB White,NA,75000,Ondo / Ondo State,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,NA,100000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 256 GB Gray,NA,545000,Uyo,Akwa Ibom State,Used
Apple iPhone 11 128 GB Purple,NA,250000,Ikeja,Lagos State,Used
Apple iPhone 8 64 GB White,NA,75000,Akungba,Ondo State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
New Apple iPhone 13 Pro 256 GB Black,NA,720000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Green,NA,340000,Ikeja,Lagos State,Used
Huawei Mate 10 64 GB Gold,NA,60000,Ikeja,Lagos State,Used
Apple iPhone 6s 16 GB Rose Gold,NA,47000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro 64 GB White,NA,250000,Ikeja,Lagos State,Used
New Apple iPhone 12 128 GB Blue,NA,369000,Akure,Ondo State,Brand New
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone 8 64 GB Black,NA,85000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,205000,Oyigbo,Rivers State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone 7 Plus 32 GB Gold,NA,130000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,210000,Eleme,Rivers State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone 13 128 GB Blue,NA,490000,Port-Harcourt,Rivers State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 128 GB Red,NA,540000,Ikeja,Lagos State,Brand New
Apple iPhone 7 128 GB Rose Gold,NA,75000,Ondo / Ondo State,Ondo State,Used
Apple iPhone 12 Pro 128 GB Blue,NA,425000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Silver,NA,450000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Red,NA,235000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS Max 64 GB Gold,NA,230000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,265000,Owo,Ondo State,Used
Apple iPhone 13 Pro 128 GB Black,NA,600000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Black,NA,155000,Eleme,Rivers State,Used
Apple iPhone 12 Pro 128 GB Gray,NA,370000,Mushin,Lagos State,Used
Apple iPhone 7 32 GB Black,NA,70000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 Pro Max 256 GB Gold,NA,375000,Ibadan,Oyo State,Used
Apple iPhone XR 64 GB White,NA,165000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
Apple iPhone XR 64 GB Red,NA,165000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,165000,Ikeja,Lagos State,Used
New Apple iPhone XS Max 256 GB Gold,NA,250000,Ikeja,Lagos State,Brand New
Apple iPhone 12 Pro 128 GB,NA,420000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,330000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,195000,Ikwerre,Rivers State,Used
New Apple iPhone 7 32 GB Black,NA,74000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Yellow,NA,235000,Akure,Ondo State,Used
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,175000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB,NA,168000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,165000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,205000,Ikwerre,Rivers State,Used
Apple iPhone 11 64 GB White,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,265000,Ikeja,Lagos State,Used
Samsung Galaxy Note 9 128 GB Blue,6 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,6 GB,115000,Alimosho,Lagos State,Used
New Samsung Galaxy S10 5G 256 GB Black,6 GB,188000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Blue,6 GB,175000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Black,6 GB,130000,Ikeja,Lagos State,Used
New Apple iPhone 14 128 GB Blue,6 GB,570000,Ikeja,Lagos State,Brand New
Apple iPhone 6s Plus 32 GB Gray,6 GB,75000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,6 GB,225000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,6 GB,210000,Ondo / Ondo State,Ondo State,Used
Apple iPhone XR 64 GB Black,6 GB,140000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,6 GB,70000,Akure,Ondo State,Used
Apple iPhone 8 Plus 64 GB Gold,6 GB,120000,Akure,Ondo State,Used
Apple iPhone XR 64 GB White,6 GB,155000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,6 GB,80000,Akure,Ondo State,Used
Apple iPhone 11 Pro Max 64 GB Gold,6 GB,345000,Uyo,Akwa Ibom State,Used
Apple iPhone 8 Plus 64 GB Black,6 GB,120000,Akure,Ondo State,Used
Apple iPhone 7 Plus 32 GB Black,6 GB,130000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Red,6 GB,230000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,6 GB,230000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,6 GB,160000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,6 GB,70000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,6 GB,230000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,6 GB,155000,Akure,Ondo State,Used
New Google Pixel 7 Pro 256 GB White,4 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,4 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,4 GB,115000,Alimosho,Lagos State,Used
Apple iPhone 11 64 GB Black,4 GB,230000,Ondo / Ondo State,Ondo State,Used
New Apple iPhone 13 Pro 256 GB Gold,4 GB,680000,Ikeja,Lagos State,Brand New
Apple iPhone 13 Pro 128 GB Gray,4 GB,585000,Ikeja,Lagos State,Used
New Apple iPhone 14 256 GB Blue,4 GB,710000,Ikeja,Lagos State,Brand New
New Apple iPhone 12 Pro Max 128 GB Black,4 GB,575000,Onitsha,Anambra State,Brand New
Apple iPhone 7 32 GB Rose Gold,4 GB,60000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,4 GB,70000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,4 GB,75000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,4 GB,60000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,4 GB,75000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,4 GB,170000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB Gold,4 GB,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,4 GB,155000,Akure,Ondo State,Used
Apple iPhone 11 Pro 64 GB Green,4 GB,250000,Ikeja,Lagos State,Used
New Apple iPhone 13 Pro 128 GB Gold,4 GB,350000,Kaduna / Kaduna State,Kaduna State,Brand New
Apple iPhone 11 64 GB White,4 GB,230000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,4 GB,80000,Akure,Ondo State,Used
Apple iPhone XR 64 GB White,4 GB,160000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,4 GB,220000,Akure,Ondo State,Used
Apple iPhone 12 256 GB Green,4 GB,370000,Enugu,Enugu State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 Pro Max 128 GB Gray,NA,715000,Ikeja,Lagos State,Brand New
New Apple iPhone 12 64 GB Red,NA,360000,Ikeja,Lagos State,Brand New
Apple iPhone 7 128 GB Red,NA,80000,Ikeja,Lagos State,Used
Apple iPhone 6s Plus 128 GB Silver,NA,62000,Alimosho,Lagos State,Used
New Thuraya SG-2520,NA,650000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Silver,NA,165000,Oluyole,Oyo State,Used
Apple iPhone XR 64 GB Yellow,NA,160000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB Red,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS Max 64 GB Black,NA,225000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB Black,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,NA,80000,Akure,Ondo State,Used
Apple iPhone 12 Pro 128 GB Blue,NA,385000,Akure,Ondo State,Used
New Apple iPhone 7 32 GB Pink,NA,75000,Port-Harcourt,Rivers State,Brand New
New Apple iPhone 7 32 GB Gold,NA,75000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS 256 GB Black,NA,225000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Rose Gold,NA,60000,Akure,Ondo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
New Apple iPhone 11 Pro 64 GB Gold,NA,350000,Ikeja,Lagos State,Brand New
Apple iPhone 7 Plus 32 GB Pink,NA,118000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB White,NA,265000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 128 GB Gold,NA,570000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 128 GB Black,NA,110000,Ikeja,Lagos State,Used
New Apple iPhone X 64 GB White,NA,180000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,165000,Surulere,Lagos State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,60000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,NA,155000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Purple,NA,220000,Akure,Ondo State,Used
LG K40S 32 GB Black,NA,75000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,200000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Eleme,Rivers State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone XR 64 GB White,NA,160000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,225000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Apple iPhone 13 Pro Max 256 GB Black,NA,730000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Purple,NA,185000,Akure,Ondo State,Used
Apple iPhone 11 128 GB White,NA,285000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Silver,NA,275000,Ikeja,Lagos State,Used
New LeEco LeTv X500 (Le 1s) 64 GB Gold,NA,45000,Onitsha,Anambra State,Brand New
Apple iPhone XR 64 GB Black,NA,150000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,230000,Ikeja,Lagos State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
New Apple iPhone 11 64 GB Silver,NA,245000,Uyo,Akwa Ibom State,Brand New
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,172000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
New Apple iPhone XR 64 GB Yellow,NA,165000,Wuse 2,Abuja (FCT) State,Brand New
Apple iPhone XR 64 GB Red,NA,175000,Port-Harcourt,Rivers State,Used
Apple iPhone 7 32 GB Rose Gold,NA,70000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone 7 Plus 128 GB Rose Gold,NA,115000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 128 GB Gold,NA,120000,Ikeja,Lagos State,Used
Huawei Nova 2 64 GB Black,NA,99000,Ikeja,Lagos State,Used
New Apple iPhone 11 64 GB Silver,NA,300000,Ikeja,Lagos State,Brand New
Apple iPhone 6s Plus 16 GB Silver,NA,65000,Ibadan,Oyo State,Used
Apple iPhone 8 64 GB Black,NA,85000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Apple iPhone XS 64 GB White,NA,160000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Rose Gold,NA,70000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,220000,Ikwerre,Rivers State,Used
Apple iPhone 8 64 GB White,NA,75000,Ondo / Ondo State,Ondo State,Used
Huawei Nova 3i 128 GB,NA,65000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Black,NA,60000,Oyigbo,Rivers State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 8 64 GB White,NA,75000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,175000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akungba,Ondo State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Eleme,Rivers State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone 6s 16 GB Silver,NA,50000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,69500,Ikeja,Lagos State,Used
New Apple iPhone 13 Pro Max 128 GB Blue,NA,498000,Surulere,Lagos State,Brand New
Apple iPhone 7 32 GB Black,NA,80000,Yenagoa,Bayelsa State,Used
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,235000,Ikeja,Lagos State,Used
Apple iPhone 8 64 GB White,NA,75000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,210000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Gionee S10C 32 GB Black,NA,35000,Ikeja,Lagos State,Refurbished
Apple iPhone XS Max 64 GB Black,NA,210000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,NA,160000,Akure,Ondo State,Used
Apple iPhone 12 Pro 128 GB Blue,NA,430000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XR 64 GB Red,NA,155000,Oyigbo,Rivers State,Used
Apple iPhone XR 64 GB Black,NA,150000,Akure,Ondo State,Used
Apple iPhone 8 64 GB Gold,NA,80000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,165000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,250000,Port-Harcourt,Rivers State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone 6 16 GB Silver,NA,47000,Ikeja,Lagos State,Used
New Apple iPhone 13 128 GB,NA,560000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro 64 GB Gold,NA,280000,Ikeja,Lagos State,Used
Apple iPhone 8 Plus 64 GB Red,NA,119000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS Max 64 GB Gray,NA,230000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Rose Gold,NA,70000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,225000,Akungba,Ondo State,Used
New Apple iPhone 13 Pro Max 128 GB Gold,NA,690000,Ikeja,Lagos State,Brand New
Apple iPhone 7 32 GB Rose Gold,NA,70000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 Pro Max 64 GB Black,NA,285000,Warri,Delta State,Used
Apple iPhone 11 64 GB Purple,NA,200000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,195000,Oyigbo,Rivers State,Used
Apple iPhone XS 64 GB Black,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,NA,160000,Akure,Ondo State,Used
New Apple iPhone XS Max 64 GB Gold,NA,238000,Akure,Ondo State,Brand New
Apple iPhone 11 64 GB White,NA,220000,Akure,Ondo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone 13 128 GB Pink,NA,485000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Purple,NA,185000,Akure,Ondo State,Used
New Apple iPhone 14 Plus 256 GB Black,NA,375000,Ikeja,Lagos State,Brand New
Apple iPhone 13 128 GB Blue,NA,465000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 12 64 GB Green,NA,305000,Wuse 2,Abuja (FCT) State,Used
New Apple iPhone X 64 GB Silver,NA,180000,Ikeja,Lagos State,Brand New
Apple iPhone XS Max 64 GB Black,NA,225000,Akure,Ondo State,Used
Apple iPhone 11 64 GB White,NA,225000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB Red,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XR 64 GB Black,NA,165000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,230000,Yenagoa,Bayelsa State,Used
Apple iPhone XS 64 GB Black,NA,160000,Ikwerre,Rivers State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,220000,Akungba,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,248000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Purple,NA,220000,Akure,Ondo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
Apple iPhone XR 64 GB Green,NA,180000,Ondo / Ondo State,Ondo State,Used
Apple iPhone 12 128 GB Black,NA,360000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro 128 GB Blue,NA,395000,Ikeja,Lagos State,Used
Apple iPhone 6s 32 GB Black,NA,57000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB White,NA,145000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Yellow,NA,190000,Port-Harcourt,Rivers State,Used
New Apple iPhone 7 256 GB Black,NA,90000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS Max 64 GB Gold,NA,195000,Eleme,Rivers State,Used
Apple iPhone 12 64 GB Green,NA,325000,Agboyi/Ketu,Lagos State,Used
New Apple iPhone 7 128 GB Black,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 12 128 GB Black,NA,380000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Red,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,190000,Port-Harcourt,Rivers State,Used
Google Pixel 5a 5G 128 GB Black,NA,220000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Yellow,NA,165000,Akure,Ondo State,Used
New Apple iPhone XR 64 GB Black,NA,169000,Akure,Ondo State,Brand New
Apple iPhone 11 128 GB Red,NA,230000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,NA,140000,Eleme,Rivers State,Used
Apple iPhone XR 64 GB Yellow,NA,170000,Port-Harcourt,Rivers State,Used
New Apple iPhone 7 128 GB Red,NA,79000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XR 128 GB White,4 GB,205000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,4 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,4 GB,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 7 Plus 32 GB Red,4 GB,130000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Red,4 GB,165000,Warri,Delta State,Used
New Mobile Phone 16 GB Black,4 GB,50000,Alimosho,Lagos State,Brand New
Apple iPhone 13 256 GB Blue,4 GB,379000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Pink,4 GB,455000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XR 64 GB Yellow,4 GB,175000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB Gold,4 GB,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,4 GB,160000,Eleme,Rivers State,Used
Apple iPhone 11 64 GB Pink,4 GB,260000,Port-Harcourt,Rivers State,Used
New Apple iPhone 13 Pro Max 256 GB Gold,4 GB,760000,Ikeja,Lagos State,Brand New
Apple iPhone 11 64 GB Green,4 GB,200000,Akure,Ondo State,Used
Apple iPhone 7 Plus 32 GB Red,4 GB,85000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Black,4 GB,135000,Ikwerre,Rivers State,Used
Apple iPhone 11 64 GB Red,4 GB,245000,Ibadan,Oyo State,Used
Apple iPhone XR 64 GB Black,4 GB,155000,Oyigbo,Rivers State,Used
Apple iPhone XR 64 GB Blue,4 GB,170000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Black,4 GB,220000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,4 GB,260000,Akure,Ondo State,Used
Apple iPhone 6s 64 GB Silver,4 GB,55000,Ibadan,Oyo State,Used
New Apple iPhone XR 64 GB Black,4 GB,180000,Akure,Ondo State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
Apple iPhone 8 64 GB Black,NA,85000,Akure,Ondo State,Used
Apple iPhone 7 Plus 32 GB Rose Gold,NA,100000,Ondo / Ondo State,Ondo State,Used
Apple iPhone 12 Pro Max 128 GB Gray,NA,540000,Ikeja,Lagos State,Used
New OnePlus 9 256 GB Black,NA,270000,Gwarinpa,Abuja (FCT) State,Brand New
Apple iPhone XR 64 GB Black,NA,165000,Ikeja,Lagos State,Used
HTC One A9 32 GB Gray,NA,32500,Ajah,Lagos State,Used
Apple iPhone 11 64 GB Green,NA,240000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
New Apple iPhone 11 Pro 64 GB Black,NA,370000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB White,NA,160000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB White,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 11 64 GB Black,NA,185000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Yellow,NA,175000,Akure,Ondo State,Used
Apple iPhone 7 32 GB Rose Gold,NA,62000,Egbe Idimu,Lagos State,Used
